,Title,Company,City,Experience,working_mode,Publish,status,Category
133,Assistant Manager,Infosys Limited,Hyderabad,4 to 9 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
134,Hypersonix - Principal Data Scientist,Hypersonix Inc.,Bangalore,8 to 12 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
135,Reward360 - Manager - Data Science & Analytics,Reward360 Global Services Pvt Ltd.,Bangalore,5 to 10 Yrs,Be an Early ApplicantRegular,1 week ago,,Fresher
136,Data Entry Operator,Sunil Koteppagol ,"Bangalore,Chennai, Hyderabad, Kolkata, Mumbai City",0 to 5 Yrs,Regular,1 week ago,,Fresher
137,"VP, Credit Modeling & Data Infrastructure (L12)",Synchrony International,Hyderabad,1 to 3 Yrs,Be an Early ApplicantRegular,6 days ago,,Experienced
138,Data Engineer_COB_EAC,Bosch Group,Coimbatore,5 to 10 Yrs,Be an Early ApplicantRegular,1 week ago,,Fresher
139,Recruiting for-AM- Data Insight,Genpact India Pvt. Ltd.,Hyderabad,3 to 4 Yrs,Be an Early ApplicantRegular,0 days ago,Premium,Experienced
140,APAC DTIT Regional Data Steward,JIVATECHNOLOGIES,Bangalore,7 to 11 Yrs,Be an Early ApplicantRegular2 ,1 day ago,Hot,Experienced
141,Snowflake data engineer,VEGA Intellisoft Private Limited,Mumbai City,3 to 7 Yrs,Be an Early ApplicantRegular,7 days ago,,Experienced
142,Senior Executive- MDM,Wipro Limited,Chennai,3 to 5 Yrs,Be an Early ApplicantRegular,3 days ago,Hot,Experienced
143,Sr Engineer /Leaddata plane,Angel and Genie,"Bangalore,Gurugram",4 to 9 Yrs,Be an Early ApplicantRegular,1 week ago,,Experienced
144,Sr. Associate / Manager - Data Scientist - Technology,Morgan Stanley Advantage Services P...,Bangalore,2 to 6 Yrs,Regular,4 days ago,,Experienced
145,SQL Developer / Data architecture For Infosys / CTH - R ...,Orcapod Consulting Services Pvt. Lt...,"Bangalore,Chennai, Hyderabad, Pune, Mumbai City",4 to 9 Yrs,Remote,4 days ago,,Experienced
146,Data Analyst,Orcapod Consulting Services Pvt. Lt...,Bangalore,9 to 14 Yrs,Regular,1 day ago,Hot,Experienced
147,Opening For GCP Data Engineer,Orcapod Consulting Services Pvt. Lt...,"Chennai,Hyderabad, Pune, Mumbai City",5 to 10 Yrs,Regular,6 days ago,,Fresher
148,Postedfor - Assistant Manager - Data Analyst,Genpact India Pvt. Ltd.,Bangalore,1 to 2 Yrs,Be an Early ApplicantRegular,4 days ago,,Experienced
149,Data Engineer Backfill,Orcapod Consulting Services Pvt. Lt...,"Bangalore,Pune",5 to 9 Yrs,Regular,1 day ago,Premium,Experienced
150,Informatica Data Quality,Orcapod Consulting Services Pvt. Lt...,"Chennai,Kochi, Hyderabad",4 to 9 Yrs,Regular,5 days ago,,Experienced
151,Assistant Manager - Data intelligence,Genpact India Pvt. Ltd.,Noida,4 to 9 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
152,Informatica Data Quality - IDQ,Orcapod Consulting Services Pvt. Lt...,"Bangalore,Chennai, Hyderabad, Kolkata, Pune",4 to 9 Yrs,Regular,5 days ago,,Experienced
153,"Data Scientist, Analytics & Data Management",Amazon,Bangalore,1 to 3 Yrs,Regular,2 weeks ago,,Experienced
154,SAP Data Migration Lead,VEGA Intellisoft Private Limited,Bangalore,10 to 14 Yrs,Be an Early ApplicantRegular,2 weeks ago,,Fresher
155,"Data Engineer - Data & Analytics- DWH, ETL & Developmen ...","Cisco Systems, Inc.",Hyderabad,7 to 10 Yrs,Be an Early ApplicantRegular,1 week ago,,Fresher
156,Senior Data Informatics Analyst,NTT Limited,Bangalore,2 to 4 Yrs,Be an Early ApplicantRegular,5 days ago,,Experienced
157,"Associate,Data Mgmt-Leave, DLS-Data Management Leaves",Amazon,Other Karnataka,3 to 6 Yrs,Regular,2 weeks ago,,Experienced
158,Data Entry Executive,Spark Recruit Services,"Bangalore,Cuttack, Chennai, Other Tamil Nadu, Vijayawada, Hyderabad, Other Kerala, Gulbarga, Pune, Ahmedabad",0 to 1 Yr,Remote39 ,7 days ago,,Fresher
159,Data Scientist,MasterCard,Gurugram,3 to 7 Yrs,Regular,3 days ago,Hot,Experienced
160,Data Entry Clerk,Spark Recruit Services,"Bangalore,Chennai, Hyderabad, Other Kerala, Gulbarga, Mumbai City, Mangalore, Mysore, Patna, Theni",0 to 1 Yr,Remote39 ,3 days ago,Hot,Fresher
161,Back Office Coordinator,Join Wing Consulting,"Jammu,Kochi, Rajkot, Pondicherry, Kollam, Dibang Valley, Palamu, Ludhiana, Vadodara, Hubli",0 to 4 Yrs,Be an Early ApplicantRemote99 ,3 days ago,Hot,Fresher
